10490000,0,200000,100000,0,100000,0,100000,0,100000,100000,0,0,0,200000,0,0,100000,0,100000,0,200000,100000,0,100000,100000,100000,100000,100000,0,0,0,100000,0,200000,0,0,0,100000,0,0,100000,0,100000,100000,0,100000,0,100000,200000,0,0,0,100000,0,0,0,0,0,0,0,0,100000,100000,100000,0,100000,200000,0,0,0,0,100001,0,100000,0,0,100000,
10990000,100000,200000,100000,0,100000,0,100000,0,100000,100000,100000,100000,200000,500000,0,200000,100000,0,100000,100000,400000,100000,400000,100000,100000,100000,100000,100000,100000,0,200000,100000,200000,200000,0,0,100000,100000,0,0,100000,100000,100000,100000,100000,100000,1,200000,400000,300000,100000,0,100000,100000,700000,100000,100000,0,0,0,0,200000,100000,100000,200000,400000,200000,100000,200000,100000,0,100001,0,100000,0,200000,700000,
11490000,100000,200000,100000,0,100000,0,100000,0,100000,100000,100000,100000,200000,500000,0,0,100000,0,100000,100000,400000,100000,400000,100000,100000,100000,100000,100000,100000,0,200000,100000,200000,200000,0,0,100000,100000,0,0,100000,100000,100000,100000,100000,100000,1,200000,400000,300000,100000,0,100000,100000,700000,100000,100000,0,0,0,0,200000,100000,100000,200000,400000,200000,100000,200000,100000,0,100001,0,100000,0,200000,700000,
11990000,100000,200000,100000,100000,100000,0,100000,0,100000,100000,100000,100000,200000,500000,100000,0,100000,0,100000,100000,400000,100000,400000,100000,100000,100000,100000,100000,100000,0,200000,100000,200000,200000,0,0,100000,100000,100000,1,100000,100000,100000,100000,100000,100000,1,200000,400000,300000,100000,0,100000,100000,700000,100000,100000,0,0,100000,0,200000,100000,100000,200000,400000,400000,100000,200000,100000,0,100001,0,100000,0,200000,700000,
12490000,100000,200000,100000,100000,100000,0,100000,0,100000,100000,100000,100000,200000,500000,100000,0,100000,0,100000,100000,400000,100000,400000,100000,100000,100000,100000,100000,100000,0,200000,100000,200000,200000,100000,0,100000,100000,100000,1,100000,100000,100000,100000,100000,100000,1,200000,400000,300000,100000,100000,100000,100000,700000,100000,100000,100000,0,100000,0,200000,100000,100000,200000,400000,400000,100000,200000,100000,0,100001,100000,100000,100000,200000,700000,
12990000,100000,200000,100000,100000,100000,0,100000,0,100000,100000,100000,100000,200000,500000,100000,0,100000,0,100000,100000,400000,100000,400000,100000,100000,100000,100000,100000,100000,0,200000,100000,200000,200000,100000,100000,100000,100000,100000,1,100000,100000,100000,100000,100000,100000,1,200000,400000,300000,100000,100000,100000,100000,700000,100000,100000,100000,0,100000,0,200000,100000,100000,200000,400000,400000,100000,200000,100000,0,100001,100000,100000,100000,200000,700000,
13490000,100000,100000,100000,100000,100000,0,0,0,100000,100000,100000,100000,200000,500000,100000,0,100000,0,100000,100000,400000,100000,400000,100000,100000,100000,100000,100000,100000,0,200000,100000,200000,200000,100000,100000,100000,100000,100000,1,100000,100000,100000,100000,100000,100000,1,200000,300000,300000,100000,100000,100000,100000,700000,100000,100000,100000,0,100000,100000,200000,100000,100000,200000,400000,600000,100000,200000,100000,100000,100001,100000,100000,100000,200000,600000,
13990000,100000,100000,100000,100000,100000,0,0,0,100000,100000,100000,100000,200000,500000,100000,0,100000,0,100000,100000,400000,100000,400000,100000,100000,100000,100000,100000,100000,0,200000,100000,100000,200000,100000,100000,100000,100000,100000,1,100000,100000,100000,100000,100000,100000,1,200000,300000,300000,100000,100000,100000,100000,700000,100000,100000,100000,0,100000,100000,200000,100000,100000,200000,400000,600000,100000,200000,100000,100000,100001,100000,100000,100000,200000,600000,
14490000,100000,100000,100000,100000,100000,0,0,100000,100000,100000,100000,100000,200000,500000,100000,0,100000,100000,100000,100000,400000,100000,400000,100000,100000,100000,100000,100000,100000,0,200000,100000,100000,200000,100000,100000,100000,100000,100000,1,100000,100000,100000,100000,100000,100000,1,200000,300000,300000,100000,100000,100000,100000,700000,100000,100000,100000,0,0,100000,200000,100000,100000,200000,400000,600000,100000,200000,100000,100000,100001,0,100000,100000,200000,700000,
14990000,100000,100000,100000,100000,100000,0,0,100000,100000,100000,100000,100000,200000,500000,100000,0,100000,100000,100000,100000,400000,100000,0,100000,100000,100000,100000,100000,100000,300000,200000,100000,100000,200000,100000,100000,100000,100000,100000,1,100000,100000,100000,100000,100000,100000,1,200000,0,300000,100000,100000,100000,100000,700000,100000,100000,100000,100000,0,100000,200000,100000,100000,200000,400000,600000,100000,200000,100000,100000,100001,0,100000,100000,200000,700000,
